launch_id,status,http_code,url_used,has_wayback,note
anthropic-claude-2-1,missing,403,https://www.anthropic.com/news/claude-2-1,no,live_failed code=403
anthropic-claude-3-haiku,missing,403,https://www.anthropic.com/news/claude-3-haiku,no,live_failed code=403
anthropic-claude-3-5-sonnet-new,missing,403,https://www.anthropic.com/news/3-5-models-and-computer-use,no,live_failed code=403
anthropic-claude-3-5-sonnet,missing,403,https://www.anthropic.com/news/claude-3-5-sonnet,no,live_failed code=403
anthropic-claude-4,missing,403,https://www.anthropic.com/news/claude-4,no,live_failed code=403
anthropic-claude-3-7-sonnet,missing,403,https://www.anthropic.com/news/claude-3-7-sonnet,no,live_failed code=403
anthropic-claude-4-1-opus,missing,403,https://www.anthropic.com/news/claude-opus-4-1,no,live_failed code=403
anthropic-claude-4-5-sonnet,missing,403,https://www.anthropic.com/news/claude-sonnet-4-5,no,live_failed code=403
anthropic-claude-4-5-haiku,missing,403,https://www.anthropic.com/news/claude-haiku-4-5,no,live_failed code=403
anthropic-claude-sonnet-4-6,missing,403,https://www.anthropic.com/news/claude-sonnet-4-6,no,live_failed code=403
anthropic-claude-opus-4-7,missing,403,https://www.anthropic.com/news/claude-opus-4-7,no,live_failed code=403
google-bard,missing,403,https://blog.google/technology/ai/try-bard/,no,live_failed code=403
google-palm-2,missing,403,https://blog.google/technology/ai/google-palm-2-ai-large-language-model/,no,live_failed code=403
google-gemini-1,missing,403,https://blog.google/technology/ai/google-gemini-ai/,no,live_failed code=403
google-gemma,missing,403,https://blog.google/technology/developers/gemma-open-models/,no,live_failed code=403
google-gemma-2,missing,403,https://blog.google/technology/developers/google-gemma-2/,no,live_failed code=403
google-gemini-1-5-pro,missing,403,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/,no,live_failed code=403
google-gemini-2-flash-ga,missing,403,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,no,live_failed code=403
google-gemini-1-5-flash,missing,403,https://blog.google/technology/ai/google-gemini-update-flash-ai-assistant-io-2024/,no,live_failed code=403
google-gemini-2-flash,missing,403,https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/,no,live_failed code=403
google-gemini-2-5-pro,missing,403,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/,no,live_failed code=403
google-gemini-3,missing,403,https://blog.google/technology/google-deepmind/gemini-3/,no,live_failed code=403
google-gemini-2-5-flash,missing,403,https://blog.google/products/gemini/gemini-2-5-flash/,no,live_failed code=403
meta-llama-1,missing,403,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,no,live_failed code=403
meta-llama-3-1,missing,403,https://ai.meta.com/blog/meta-llama-3-1/,no,live_failed code=403
meta-code-llama,missing,403,https://ai.meta.com/blog/code-llama-large-language-model-coding/,no,live_failed code=403
meta-llama-3,missing,403,https://ai.meta.com/blog/meta-llama-3/,no,live_failed code=403
meta-llama-4,missing,403,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,no,live_failed code=403
meta-llama-3-3,missing,403,https://ai.meta.com/blog/future-of-ai-built-with-llama/,no,live_failed code=403
meta-llama-3-2,missing,403,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,no,live_failed code=403
meta-llama-2,missing,403,https://about.fb.com/news/2023/07/llama-2/,no,live_failed code=403
mistral-large,missing,403,https://mistral.ai/news/mistral-large/,no,live_failed code=403
mistral-small-3,missing,403,https://mistral.ai/news/mistral-small-3/,no,live_failed code=403
mistral-large-2,missing,403,https://mistral.ai/news/mistral-large-2407/,no,live_failed code=403
mistral-mistral-7b,missing,403,https://mistral.ai/news/announcing-mistral-7b/,no,live_failed code=403
mistral-mixtral-8x7b,missing,403,https://mistral.ai/news/mixtral-of-experts/,no,live_failed code=403
mistral-nemo,missing,403,https://mistral.ai/news/mistral-nemo/,no,live_failed code=403
mistral-codestral,missing,403,https://mistral.ai/news/codestral/,no,live_failed code=403
mistral-pixtral,missing,403,https://mistral.ai/news/pixtral-12b/,no,live_failed code=403
mistral-medium-3,missing,403,https://mistral.ai/news/mistral-medium-3/,no,live_failed code=403
xai-grok-1-5v,missing,403,https://x.ai/blog/grok-1.5v,no,live_failed code=403
xai-grok-3,missing,403,https://x.ai/news/grok-3,no,live_failed code=403
xai-grok-1-5,missing,403,https://x.ai/blog/grok-1.5,no,live_failed code=403
xai-grok-1,missing,403,https://x.ai/blog/grok,no,live_failed code=403
xai-grok-4,missing,403,https://x.ai/news/grok-4,no,live_failed code=403
xai-grok-2,missing,403,https://x.ai/blog/grok-2,no,live_failed code=403
deepseek-v2,missing,403,https://api-docs.deepseek.com/news/news0506,no,live_failed code=403
deepseek-v2-5,missing,403,https://api-docs.deepseek.com/news/news0905,no,live_failed code=403
deepseek-r1,missing,403,https://api-docs.deepseek.com/news/news250120,no,live_failed code=403
deepseek-v3,missing,403,https://api-docs.deepseek.com/news/news1226,no,live_failed code=403
deepseek-v3-1,missing,403,https://api-docs.deepseek.com/news/news250821,no,live_failed code=403
qwen-1,missing,403,https://qwenlm.github.io/blog/qwen/,no,live_failed code=403
qwen-1-5,missing,403,https://qwenlm.github.io/blog/qwen1.5/,no,live_failed code=403
qwen-2,missing,403,https://qwenlm.github.io/blog/qwen2/,no,live_failed code=403
qwen-2-5-max,missing,403,https://qwenlm.github.io/blog/qwen2.5-max/,no,live_failed code=403
qwen-qwq-32b-preview,missing,403,https://qwenlm.github.io/blog/qwq-32b-preview/,no,live_failed code=403
qwen-3,missing,403,https://qwenlm.github.io/blog/qwen3/,no,live_failed code=403
qwen-2-5,missing,403,https://qwenlm.github.io/blog/qwen2.5/,no,live_failed code=403
microsoft-phi-3,missing,403,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/,no,live_failed code=403
cohere-command-r,missing,403,https://cohere.com/blog/command-r,no,live_failed code=403
cohere-command-r-plus,missing,403,https://cohere.com/blog/command-r-plus-microsoft-azure,no,live_failed code=403
cohere-command-a,missing,403,https://cohere.com/blog/command-a,no,live_failed code=403
amazon-titan,missing,403,https://www.aboutamazon.com/news/aws/aws-bedrock-amazon-titan-generative-ai,no,live_failed code=403
amazon-nova,missing,403,https://www.aboutamazon.com/news/aws/amazon-nova-artificial-intelligence-bedrock-aws,no,live_failed code=403
microsoft-phi-3-5,missing,403,https://techcommunity.microsoft.com/blog/azure-ai-services-blog/discover-the-new-multi-lingual-high-quality-phi-3-5-slms/4225280,no,live_failed code=403
huggingface-zephyr-7b,missing,403,https://huggingface.co/blog/zephyr-7b,no,live_failed code=403
nvidia-nemotron-4-340b,missing,403,https://blogs.nvidia.com/blog/nemotron-4-synthetic-data-generation-llm-training/,no,live_failed code=403
huggingface-smollm2,missing,403,https://huggingface.co/blog/smollm2,no,live_failed code=403
huggingface-smollm,missing,403,https://huggingface.co/blog/smollm,no,live_failed code=403
stability-sd3,missing,403,https://stability.ai/news/stable-diffusion-3,no,live_failed code=403
apple-ipod-mini-2,missing,403,https://www.apple.com/pr/library/2005/02/23Apple-Introduces-Updated-iPod-mini-Family.html,no,live_failed code=403
stability-sdxl,missing,403,https://stability.ai/news/stable-diffusion-sdxl-1-announcement,no,live_failed code=403
apple-ipod-shuffle-1,missing,403,https://www.apple.com/pr/library/2005/01/11Apple-Introduces-iPod-shuffle.html,no,live_failed code=403
apple-ipod-video-5g,missing,403,https://www.apple.com/pr/library/2005/10/12Apple-Unveils-the-New-iPod.html,no,live_failed code=403
microsoft-phi-2,live,200,https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/,,
apple-ipod-hifi,missing,403,https://www.apple.com/pr/library/2006/02/28Apple-Introduces-iPod-Hi-Fi.html,no,live_failed code=403
apple-ipod-nano-1,missing,403,https://www.apple.com/pr/library/2005/09/07Apple-Introduces-iPod-nano.html,no,live_failed code=403
apple-ipod-touch-1,missing,403,https://www.apple.com/pr/library/2007/09/05Apple-Introduces-iPod-touch.html,no,live_failed code=403
apple-ipod-shuffle-2,missing,403,https://www.apple.com/pr/library/2006/09/12Apple-Unveils-the-New-iPod-shuffle.html,no,live_failed code=403
apple-ipod-nano-2,missing,403,https://www.apple.com/pr/library/2006/09/12Apple-Unveils-New-Aluminum-Clad-iPod-nano-in-Five-Vibrant-Colors.html,no,live_failed code=403
apple-ipod-classic,missing,403,https://www.apple.com/pr/library/2007/09/05The-New-iPod-classic-160GB.html,no,live_failed code=403
microsoft-phi-4,missing,404,https://www.microsoft.com/en-us/research/blog/phi-4-microsoft-introduces-an-improved-and-efficient-language-model/,no,live_failed code=404
apple-ipod-nano-3,missing,403,https://www.apple.com/pr/library/2007/09/05Apple-Unveils-New-iPod-nano-with-Video-Playback.html,no,live_failed code=403
apple-ipod-touch-2,missing,403,https://www.apple.com/pr/library/2008/09/09Apple-Introduces-New-iPod-touch.html,no,live_failed code=403
apple-ipod-nano-4,missing,403,https://www.apple.com/pr/library/2008/09/09Apple-Introduces-New-iPod-nano.html,no,live_failed code=403
apple-ipod-nano-5,missing,403,https://www.apple.com/pr/library/2009/09/09Apple-Unveils-New-iPod-nano-with-Built-in-Video-Camera.html,no,live_failed code=403
apple-ipod-touch-3,missing,403,https://www.apple.com/pr/library/2009/09/09Apple-Introduces-New-iPod-touch.html,no,live_failed code=403
apple-ipod-nano-6,missing,403,https://www.apple.com/pr/library/2010/09/01Apple-Unveils-New-iPod-nano-with-Multi-Touch-Interface.html,no,live_failed code=403
apple-ipod-touch-4,missing,403,https://www.apple.com/pr/library/2010/09/01Apple-Introduces-New-iPod-touch.html,no,live_failed code=403
apple-ipod-nano-7,missing,403,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-Completely-Redesigned-iPod-nano-Lineup.html,no,live_failed code=403
apple-ipod-touch-6,missing,403,https://www.apple.com/newsroom/2015/07/15Apple-Introduces-New-iPod-touch/,no,live_failed code=403
apple-ipod-touch-5,missing,403,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-Completely-Redesigned-iPod-touch.html,no,live_failed code=403
apple-ipod-touch-7,missing,403,https://www.apple.com/newsroom/2019/05/new-ipod-touch-delivers-even-greater-performance/,no,live_failed code=403
apple-iphone-1,missing,403,https://www.apple.com/pr/library/2007/01/09Apple-Reinvents-the-Phone-with-iPhone.html,no,live_failed code=403
apple-iphone-3g,missing,403,https://www.apple.com/pr/library/2008/06/09Apple-Introduces-the-New-iPhone-3G.html,no,live_failed code=403
apple-iphone-4s,missing,403,https://www.apple.com/pr/library/2011/10/04Apple-Launches-iPhone-4S-iOS-5-iCloud.html,no,live_failed code=403
apple-iphone-3gs,missing,403,https://www.apple.com/pr/library/2009/06/08Apple-Announces-the-New-iPhone-3GS-The-Fastest-Most-Powerful-iPhone-Yet.html,no,live_failed code=403
apple-iphone-4,missing,403,https://www.apple.com/pr/library/2010/06/07Apple-Presents-iPhone-4.html,no,live_failed code=403
apple-iphone-5,missing,403,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-iPhone-5.html,no,live_failed code=403
apple-iphone-5s-5c,missing,403,https://www.apple.com/pr/library/2013/09/10Apple-Announces-iPhone-5s-The-Most-Forward-Thinking-Smartphone-Yet.html,no,live_failed code=403
apple-iphone-6,missing,403,https://www.apple.com/pr/library/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History.html,no,live_failed code=403
apple-iphone-6s,missing,403,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPhone-6s-iPhone-6s-Plus/,no,live_failed code=403
apple-iphone-se-1,missing,403,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-iPhone-SE-The-Most-Powerful-Phone-with-a-Four-inch-Display/,no,live_failed code=403
apple-iphone-7,missing,403,https://www.apple.com/newsroom/2016/09/apple-introduces-iphone-7-iphone-7-plus/,no,live_failed code=403
apple-iphone-8,missing,403,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,no,live_failed code=403
apple-iphone-xr,missing,403,https://www.apple.com/newsroom/2018/09/iphone-xr-brings-breakthrough-technologies-to-more-customers/,no,live_failed code=403
apple-iphone-x,missing,403,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,no,live_failed code=403
apple-iphone-11,missing,403,https://www.apple.com/newsroom/2019/09/new-dual-camera-iphone-11-supercharges-the-most-popular-camera-in-the-world/,no,live_failed code=403
apple-iphone-xs,missing,403,https://www.apple.com/newsroom/2018/09/the-new-iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,no,live_failed code=403
apple-iphone-se-2,missing,403,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,no,live_failed code=403
apple-iphone-11-pro,missing,403,https://www.apple.com/newsroom/2019/09/apple-unveils-iphone-11-pro-and-iphone-11-pro-max-the-most-advanced-iphones-ever/,no,live_failed code=403
apple-iphone-14,missing,403,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-and-iphone-14-plus/,no,live_failed code=403
apple-iphone-12,missing,403,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,no,live_failed code=403
apple-iphone-16,missing,403,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-and-iphone-16-plus/,no,live_failed code=403
apple-iphone-14-pro,missing,403,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-pro-and-iphone-14-pro-max/,no,live_failed code=403
apple-iphone-13,missing,403,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-pro-and-iphone-13-pro-max/,no,live_failed code=403
apple-iphone-se-3,missing,403,https://www.apple.com/newsroom/2022/03/apple-unveils-new-iphone-se-with-5g-and-the-powerful-a15-bionic-chip/,no,live_failed code=403
apple-iphone-15,missing,403,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,no,live_failed code=403
apple-iphone-15-pro,missing,403,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,no,live_failed code=403
apple-iphone-17,missing,403,https://www.apple.com/newsroom/2025/09/apple-introduces-iphone-17/,no,live_failed code=403
apple-iphone-16e,missing,403,https://www.apple.com/newsroom/2025/02/apple-introduces-iphone-16e-a-powerful-new-member-of-the-iphone-16-family/,no,live_failed code=403
apple-iphone-17-pro,missing,403,https://www.apple.com/newsroom/2025/09/apple-introduces-iphone-17-pro/,no,live_failed code=403
apple-iphone-16-pro,missing,403,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,no,live_failed code=403
apple-ipad-1,missing,403,https://www.apple.com/pr/library/2010/01/27Apple-Launches-iPad.html,no,live_failed code=403
apple-ipad-3,missing,403,https://www.apple.com/pr/library/2012/03/07Apple-Launches-New-iPad.html,no,live_failed code=403
apple-ipad-2,missing,403,https://www.apple.com/pr/library/2011/03/02Apple-Launches-iPad-2.html,no,live_failed code=403
apple-ipad-4,missing,403,https://www.apple.com/pr/library/2012/10/23Apple-Introduces-iPad-mini.html,no,live_failed code=403
apple-ipad-air-2,missing,403,https://www.apple.com/pr/library/2014/10/16Apple-Introduces-iPad-Air-2-The-Thinnest-Most-Powerful-iPad-Ever.html,no,live_failed code=403
apple-ipad-pro-12-9-1,missing,403,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPad-Pro-Featuring-Epic-12-9-inch-Retina-Display/,no,live_failed code=403
apple-ipad-mini-1,missing,403,https://www.apple.com/pr/library/2012/10/23Apple-Introduces-iPad-mini.html,no,live_failed code=403
apple-ipad-air-1,missing,403,https://www.apple.com/pr/library/2013/10/22Apple-Introduces-iPad-Air-Dramatically-Thinner-Lighter-More-Powerful-iPad.html,no,live_failed code=403
apple-ipad-mini-3,missing,403,https://www.apple.com/pr/library/2014/10/16Apple-Introduces-iPad-mini-3.html,no,live_failed code=403
apple-ipad-mini-2,missing,403,https://www.apple.com/pr/library/2013/10/22Apple-Introduces-iPad-mini-with-Retina-Display.html,no,live_failed code=403
apple-ipad-mini-4,missing,403,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPad-mini-4/,no,live_failed code=403
apple-ipad-pro-9-7,missing,403,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-9-7-inch-iPad-Pro/,no,live_failed code=403
apple-ipad-5,missing,403,https://www.apple.com/newsroom/2017/03/new-9_7-inch-ipad-stunning-retina-display-amazing-performance-incredible-price/,no,live_failed code=403
apple-ipad-pro-10-5,missing,403,https://www.apple.com/newsroom/2017/06/apple-introduces-the-ultimate-creative-tool-with-all-new-ipad-pro/,no,live_failed code=403
apple-ipad-6,missing,403,https://www.apple.com/newsroom/2018/03/new-9_7-inch-ipad-with-apple-pencil-support-delivers-power-and-capability/,no,live_failed code=403
apple-ipad-pro-2018,missing,403,https://www.apple.com/newsroom/2018/10/new-ipad-pro-with-all-screen-design-is-the-most-advanced-most-powerful-ipad-ever/,no,live_failed code=403
apple-ipad-mini-5,missing,403,https://www.apple.com/newsroom/2019/03/apple-introduces-powerful-new-ipad-air-and-ipad-mini/,no,live_failed code=403
apple-ipad-air-3,missing,403,https://www.apple.com/newsroom/2019/03/apple-introduces-powerful-new-ipad-air-and-ipad-mini/,no,live_failed code=403
apple-ipad-7,missing,403,https://www.apple.com/newsroom/2019/09/new-ipad-features-bigger-10_2-inch-retina-display-and-supports-full-size-smart-keyboard/,no,live_failed code=403
apple-ipad-pro-2020,missing,403,https://www.apple.com/newsroom/2020/03/apple-unveils-new-ipad-pro-with-lidar-scanner-and-trackpad-support-in-ipados/,no,live_failed code=403
apple-ipad-8,missing,403,https://www.apple.com/newsroom/2020/09/apple-introduces-eighth-generation-ipad-with-a-huge-jump-in-performance/,no,live_failed code=403
apple-ipad-pro-m1,missing,403,https://www.apple.com/newsroom/2021/04/apple-unveils-new-ipad-pro-with-breakthrough-m1-chip-and-stunning-liquid-retina-xdr-display/,no,live_failed code=403
apple-ipad-air-4,missing,403,https://www.apple.com/newsroom/2020/09/apple-unveils-all-new-ipad-air-with-a14-bionic-apples-most-advanced-chip/,no,live_failed code=403
apple-ipad-air-5,missing,403,https://www.apple.com/newsroom/2022/03/the-new-ipad-air-makes-the-leap-to-m1/,no,live_failed code=403
apple-ipad-mini-6,missing,403,https://www.apple.com/newsroom/2021/09/new-ipad-mini-unleashes-creativity-with-massive-redesign/,no,live_failed code=403
apple-ipad-10,missing,403,https://www.apple.com/newsroom/2022/10/apple-introduces-redesigned-ipad-and-vibrant-new-colors/,no,live_failed code=403
apple-ipad-9,missing,403,https://www.apple.com/newsroom/2021/09/apple-introduces-the-new-more-powerful-ipad/,no,live_failed code=403
apple-ipad-pro-m2,missing,403,https://www.apple.com/newsroom/2022/10/apple-unveils-new-ipad-pro-supercharged-by-the-apple-m2-chip/,no,live_failed code=403
apple-ipad-pro-m4,missing,403,https://www.apple.com/newsroom/2024/05/apple-unveils-stunning-new-ipad-pro-with-m4-chip-and-apple-pencil-pro/,no,live_failed code=403
apple-ipad-air-m2,missing,403,https://www.apple.com/newsroom/2024/05/apple-introduces-powerful-new-ipad-air-with-m2-chip-in-two-sizes/,no,live_failed code=403
apple-ipad-11,missing,403,https://www.apple.com/newsroom/2025/03/apple-introduces-ipad-with-a16/,no,live_failed code=403
apple-ipad-mini-7,missing,403,https://www.apple.com/newsroom/2024/10/apple-introduces-powerful-new-ipad-mini-built-for-apple-intelligence/,no,live_failed code=403
apple-ipad-air-m3,missing,403,https://www.apple.com/newsroom/2025/03/apple-introduces-ipad-air-with-m3/,no,live_failed code=403
apple-macbook-pro-1,missing,403,https://www.apple.com/pr/library/2006/01/10Apple-Introduces-MacBook-Pro.html,no,live_failed code=403
apple-macbook-pro-c2d,missing,403,https://www.apple.com/pr/library/2006/10/24New-MacBook-Pro-Features-Intel-Core-2-Duo-Processors.html,no,live_failed code=403
apple-macbook-pro-2007,missing,403,https://www.apple.com/pr/library/2007/06/05Apple-Introduces-New-MacBook-Pro-Featuring-LED-Backlit-Display.html,no,live_failed code=403
apple-macbook-pro-unibody,missing,403,https://www.apple.com/pr/library/2008/10/14Apple-Updates-MacBook-Pro-Family-with-New-Unibody-Construction-and-Innovative-Features.html,no,live_failed code=403
apple-macbook-pro-2009,missing,403,https://www.apple.com/pr/library/2009/06/08Apple-Updates-MacBook-Pro-Family-with-New-Models-Innovative-Built-in-Battery-for-Up-to-40-Longer-Battery-Life.html,no,live_failed code=403
apple-macbook-pro-2010,missing,403,https://www.apple.com/pr/library/2010/04/13Apple-Updates-MacBook-Pro-with-Next-Generation-Processors-Graphics-Longer-Battery-Life.html,no,live_failed code=403
apple-macbook-pro-2011,missing,403,https://www.apple.com/pr/library/2011/02/24New-MacBook-Pro-Features-Next-Generation-Processors-Graphics-Thunderbolt-I-O-Technology.html,no,live_failed code=403
apple-macbook-pro-retina-15,missing,403,https://www.apple.com/pr/library/2012/06/11Apple-Introduces-Next-Generation-MacBook-Pro.html,no,live_failed code=403
apple-macbook-pro-retina-13,missing,403,https://www.apple.com/pr/library/2012/10/23Apple-Introduces-13-inch-MacBook-Pro-with-Retina-Display.html,no,live_failed code=403
apple-macbook-pro-2013-haswell,missing,403,https://www.apple.com/pr/library/2013/10/22Apple-Updates-MacBook-Pro-with-Retina-Display.html,no,live_failed code=403
apple-macbook-pro-2014,missing,403,https://www.apple.com/pr/library/2014/07/29Apple-Updates-MacBook-Pro-with-Faster-Processors-Lower-Starting-Price.html,no,live_failed code=403
apple-macbook-pro-2015-13,missing,403,https://www.apple.com/newsroom/2015/03/09Apple-Updates-13-inch-MacBook-Pro/,no,live_failed code=403
apple-macbook-pro-2015-15,missing,403,https://www.apple.com/newsroom/2015/05/19Apple-Updates-15-inch-MacBook-Pro/,no,live_failed code=403
apple-macbook-pro-touchbar,missing,403,https://www.apple.com/newsroom/2016/10/new-thinner-lighter-macbook-pro-features-touch-bar-and-touch-id/,no,live_failed code=403
apple-macbook-pro-2017,missing,403,https://www.apple.com/newsroom/2017/06/apple-takes-the-mac-to-the-next-level/,no,live_failed code=403
apple-macbook-pro-2018,missing,403,https://www.apple.com/newsroom/2018/07/apple-boosts-macbook-pro-with-faster-performance-and-new-features-for-pros/,no,live_failed code=403
apple-macbook-pro-2019,missing,403,https://www.apple.com/newsroom/2019/05/apples-most-powerful-notebook-faster-cpus-up-to-8-cores-and-new-keyboard-come-to-macbook-pro/,no,live_failed code=403
apple-macbook-pro-16,missing,403,https://www.apple.com/newsroom/2019/11/apple-unveils-new-16-inch-macbook-pro-the-worlds-best-pro-notebook/,no,live_failed code=403
apple-macbook-pro-13-2020,missing,403,https://www.apple.com/newsroom/2020/05/apple-updates-13-inch-macbook-pro-with-magic-keyboard-double-the-storage-and-faster-performance/,no,live_failed code=403
apple-macbook-pro-m1,missing,403,https://www.apple.com/newsroom/2020/11/introducing-the-next-generation-of-mac/,no,live_failed code=403
apple-macbook-pro-m1-pro-max,missing,403,https://www.apple.com/newsroom/2021/10/introducing-m1-pro-and-m1-max-the-most-powerful-chips-apple-has-ever-built/,no,live_failed code=403
apple-macbook-pro-m3,missing,403,https://www.apple.com/newsroom/2023/10/new-macbook-pro-features-m3-chips-takes-mac-performance-to-new-heights/,no,live_failed code=403
apple-macbook-pro-m2-pro-max,missing,403,https://www.apple.com/newsroom/2023/01/new-macbook-pro-features-m2-pro-and-m2-max-next-generation-chips-for-next-level-workflows/,no,live_failed code=403
apple-macbook-pro-m2-13,missing,403,https://www.apple.com/newsroom/2022/06/apple-unveils-all-new-macbook-air-supercharged-by-the-new-m2-chip/,no,live_failed code=403
apple-macbook-pro-m4,missing,403,https://www.apple.com/newsroom/2024/10/new-macbook-pro-features-m4-family-of-chips-and-apple-intelligence/,no,live_failed code=403
apple-macbook-air-2009,missing,403,https://www.apple.com/pr/library/2009/06/08Apple-Updates-MacBook-Air-Family.html,no,live_failed code=403
apple-macbook-air-1,missing,403,https://www.apple.com/pr/library/2008/01/15MacBook-Air-The-Worlds-Thinnest-Notebook.html,no,live_failed code=403
apple-macbook-air-2010,missing,403,https://www.apple.com/pr/library/2010/10/20Apple-Reinvents-Notebooks-With-New-MacBook-Air.html,no,live_failed code=403
apple-macbook-air-2012,missing,403,https://www.apple.com/pr/library/2012/06/11Apple-Updates-MacBook-Air.html,no,live_failed code=403
apple-macbook-air-2013,missing,403,https://www.apple.com/pr/library/2013/06/10Apple-Unveils-All-New-MacBook-Air.html,no,live_failed code=403
apple-macbook-air-2011,missing,403,https://www.apple.com/pr/library/2011/07/20New-MacBook-Air-Features-Latest-Intel-Core-Processors-Thunderbolt-I-O-Backlit-Keyboard.html,no,live_failed code=403
apple-macbook-air-2017,missing,403,https://www.apple.com/newsroom/2017/06/apple-takes-the-mac-to-the-next-level/,no,live_failed code=403
apple-macbook-air-2014,missing,403,https://www.apple.com/pr/library/2014/04/29Apple-Updates-MacBook-Air.html,no,live_failed code=403
apple-macbook-air-retina,missing,403,https://www.apple.com/newsroom/2018/10/apple-unveils-new-macbook-air-with-retina-display-touch-id-and-the-latest-processors/,no,live_failed code=403
apple-macbook-air-2015,missing,403,https://www.apple.com/newsroom/2015/03/09Apple-Updates-MacBook-Air/,no,live_failed code=403
apple-macbook-air-2019,missing,403,https://www.apple.com/newsroom/2019/07/macbook-air-and-macbook-pro-get-major-updates/,no,live_failed code=403
apple-macbook-air-2020,missing,403,https://www.apple.com/newsroom/2020/03/apple-updates-macbook-air-with-better-keyboard-twice-the-storage-and-faster-performance/,no,live_failed code=403
apple-macbook-air-m2,missing,403,https://www.apple.com/newsroom/2022/06/apple-unveils-all-new-macbook-air-supercharged-by-the-new-m2-chip/,no,live_failed code=403
